iter	Passed	Remaining
0	5	5120
1	9	4747
2	13	4642
3	17	4480
4	22	4419
5	26	4393
6	30	4380
7	35	4382
8	37	4160
9	40	4000
10	44	4035
11	49	4100
12	54	4101
13	58	4122
14	61	4008
15	65	4034
16	69	4042
17	74	4069
18	79	4087
19	83	4095
20	88	4105
21	92	4103
22	96	4118
23	97	3977
24	102	3994
25	106	3995
26	111	4007
27	115	3999
28	119	3994
29	123	3989
30	127	3990
31	131	3992
32	135	3982
33	140	3980
34	144	3976
35	148	3974
36	152	3977
37	157	3983
38	161	3981
39	165	3979
40	172	4031
41	180	4112
42	187	4178
43	193	4205
44	199	4227
45	204	4239
46	209	4247
47	214	4253
48	220	4270
49	225	4290
50	230	4296
51	237	4321
52	244	4363
53	250	4393
54	256	4407
55	262	4432
56	267	4433
57	272	4430
58	278	4442
59	283	4444
60	289	4448
61	294	4449
62	299	4454
63	304	4455
64	309	4449
65	314	4447
66	318	4439
67	323	4431
68	328	4438
69	334	4441
70	340	4456
71	345	4453
72	354	4500
73	360	4508
74	366	4519
75	372	4526
76	377	4529
77	383	4533
78	388	4531
79	394	4531
80	399	4530
81	404	4530
82	410	4533
83	415	4532
84	420	4529
85	425	4526
86	431	4531
87	440	4565
88	446	4574
89	452	4570
90	456	4560
91	462	4561
92	466	4553
93	471	4544
94	476	4541
95	481	4532
96	485	4522
97	490	4514
98	495	4508
99	499	4498
100	505	4495
101	511	4507
102	518	4513
103	524	4516
104	530	4518
105	536	4523
106	541	4521
107	547	4519
108	552	4519
109	560	4535
110	569	4559
111	575	4559
112	581	4561
113	587	4567
114	593	4570
115	600	4573
116	606	4575
117	612	4577
118	618	4580
119	624	4577
120	629	4573
121	635	4570
122	640	4563
123	645	4558
124	650	4555
125	656	4553
126	662	4551
127	667	4550
128	673	4549
129	680	4553
130	687	4560
131	694	4569
132	701	4573
133	708	4579
134	715	4587
135	721	4584
136	727	4581
137	733	4580
138	738	4577
139	744	4575
140	753	4588
141	759	4586
142	765	4586
143	771	4583
144	776	4581
145	782	4578
146	788	4575
147	794	4570
148	799	4567
149	804	4560
150	810	4558
151	816	4555
152	822	4552
153	828	4550
154	834	4547
155	838	4538
156	843	4528
157	848	4522
158	855	4527
159	862	4526
160	868	4524
161	874	4525
162	881	4526
163	887	4523
164	892	4517
165	897	4509
166	903	4505
167	911	4511
168	916	4508
169	921	4500
170	926	4491
171	931	4482
172	935	4474
173	940	4466
174	946	4459
175	950	4451
176	956	4445
177	961	4438
178	966	4430
179	970	4422
180	975	4413
181	979	4403
182	984	4396
183	989	4388
184	994	4380
185	998	4371
186	1003	4363
187	1008	4354
188	1013	4346
189	1017	4338
190	1024	4340
191	1030	4338
192	1036	4335
193	1043	4333
194	1049	4331
195	1054	4325
196	1059	4319
197	1064	4313
198	1070	4308
199	1076	4304
200	1082	4304
201	1088	4299
202	1092	4291
203	1098	4284
204	1102	4276
205	1107	4268
206	1112	4260
207	1117	4253
208	1121	4245
209	1126	4237
210	1131	4229
211	1136	4224
212	1144	4227
213	1150	4225
214	1156	4221
215	1162	4219
216	1167	4213
217	1172	4206
218	1177	4200
219	1182	4194
220	1187	4186
221	1192	4179
222	1199	4180
223	1205	4176
224	1211	4174
225	1217	4170
226	1225	4173
227	1231	4170
228	1238	4168
229	1243	4163
230	1248	4157
231	1254	4152
232	1259	4146
233	1267	4148
234	1272	4141
235	1277	4135
236	1283	4133
237	1289	4129
238	1294	4122
239	1300	4118
240	1306	4114
241	1313	4114
242	1321	4116
243	1330	4123
244	1336	4119
245	1342	4115
246	1351	4120
247	1362	4130
248	1370	4134
249	1380	4141
250	1393	4158
251	1402	4163
252	1410	4165
253	1417	4163
254	1424	4161
255	1431	4159
256	1437	4156
257	1444	4153
258	1450	4150
259	1456	4145
260	1463	4142
261	1470	4142
262	1477	4140
263	1483	4136
264	1490	4133
265	1497	4131
266	1507	4138
267	1518	4146
268	1538	4181
269	1553	4199
270	1568	4220
271	1580	4229
272	1587	4227
273	1595	4227
274	1601	4222
275	1608	4218
276	1616	4219
277	1622	4214
278	1628	4208
279	1634	4202
280	1644	4208
281	1654	4212
282	1660	4207
283	1677	4229
284	1698	4260
285	1706	4259
286	1718	4268
287	1725	4264
288	1731	4259
289	1737	4253
290	1743	4246
291	1749	4240
292	1755	4235
293	1761	4229
294	1767	4223
295	1772	4216
296	1778	4210
297	1785	4205
298	1791	4201
299	1800	4200
300	1809	4200
301	1817	4201
302	1823	4195
303	1829	4188
304	1834	4180
305	1844	4184
306	1851	4180
307	1856	4171
308	1862	4165
309	1867	4156
310	1872	4148
311	1878	4142
312	1883	4133
313	1888	4125
314	1894	4119
315	1900	4113
316	1906	4107
317	1911	4100
318	1917	4093
319	1923	4086
320	1929	4080
321	1935	4074
322	1940	4067
323	1946	4061
324	1955	4061
325	1960	4054
326	1969	4052
327	1975	4048
328	1983	4045
329	1988	4038
330	1994	4031
331	1999	4023
332	2004	4015
333	2010	4008
334	2017	4005
335	2023	3998
336	2029	3992
337	2034	3985
338	2039	3976
339	2045	3969
340	2051	3964
341	2057	3959
342	2065	3956
343	2072	3951
344	2077	3944
345	2084	3939
346	2090	3934
347	2096	3927
348	2102	3921
349	2107	3914
350	2113	3906
351	2118	3899
352	2123	3892
353	2130	3888
354	2138	3884
355	2144	3878
356	2154	3880
357	2161	3876
358	2168	3871
359	2173	3864
360	2179	3857
361	2184	3850
362	2190	3843
363	2195	3835
364	2201	3830
365	2206	3822
366	2212	3815
367	2218	3809
368	2224	3803
369	2231	3799
370	2237	3793
371	2243	3786
372	2248	3779
373	2254	3773
374	2260	3767
375	2266	3760
376	2272	3754
377	2277	3747
378	2283	3740
379	2288	3733
380	2293	3726
381	2299	3719
382	2306	3715
383	2311	3707
384	2317	3702
385	2322	3694
386	2327	3686
387	2332	3679
388	2337	3671
389	2342	3663
390	2347	3656
391	2352	3648
392	2356	3640
393	2362	3633
394	2366	3625
395	2371	3617
396	2376	3609
397	2381	3602
398	2386	3594
399	2393	3590
400	2399	3584
401	2406	3579
402	2412	3573
403	2418	3567
404	2423	3560
405	2429	3554
406	2434	3547
407	2439	3540
408	2445	3533
409	2450	3526
410	2457	3522
411	2463	3515
412	2469	3509
413	2474	3502
414	2479	3495
415	2484	3488
416	2489	3480
417	2494	3473
418	2499	3465
419	2504	3458
420	2508	3450
421	2513	3442
422	2518	3434
423	2523	3427
424	2528	3420
425	2533	3413
426	2537	3405
427	2542	3398
428	2547	3390
429	2552	3383
430	2556	3375
431	2563	3370
432	2569	3365
433	2575	3359
434	2582	3354
435	2588	3349
436	2594	3342
437	2600	3336
438	2605	3330
439	2611	3323
440	2616	3316
441	2622	3310
442	2630	3306
443	2638	3304
444	2643	3297
445	2650	3291
446	2655	3285
447	2660	3277
448	2665	3271
449	2670	3263
450	2675	3256
451	2680	3249
452	2685	3242
453	2689	3234
454	2694	3227
455	2699	3220
456	2704	3213
457	2709	3205
458	2713	3198
459	2718	3191
460	2723	3184
461	2728	3177
462	2735	3172
463	2741	3167
464	2748	3161
465	2754	3156
466	2760	3151
467	2766	3144
468	2771	3138
469	2776	3131
470	2782	3125
471	2788	3119
472	2793	3112
473	2798	3105
474	2805	3100
475	2811	3094
476	2816	3088
477	2821	3081
478	2827	3075
479	2833	3069
480	2838	3063
481	2844	3056
482	2850	3050
483	2855	3044
484	2860	3037
485	2866	3032
486	2872	3025
487	2879	3020
488	2884	3014
489	2889	3007
490	2895	3001
491	2900	2994
492	2906	2989
493	2912	2983
494	2919	2978
495	2925	2972
496	2931	2966
497	2936	2960
498	2942	2954
499	2945	2945
500	2951	2939
501	2958	2934
502	2966	2930
503	2976	2929
504	2983	2924
505	2990	2919
506	2995	2912
507	3001	2906
508	3006	2900
509	3011	2893
510	3017	2887
511	3022	2880
512	3027	2874
513	3032	2867
514	3037	2860
515	3042	2854
516	3048	2848
517	3053	2841
518	3058	2834
519	3064	2829
520	3069	2822
521	3076	2816
522	3082	2811
523	3088	2805
524	3095	2800
525	3101	2795
526	3107	2788
527	3112	2782
528	3118	2776
529	3124	2770
530	3130	2764
531	3135	2758
532	3143	2754
533	3148	2747
534	3154	2741
535	3160	2735
536	3165	2729
537	3170	2723
538	3176	2716
539	3180	2709
540	3186	2703
541	3191	2696
542	3195	2689
543	3202	2684
544	3207	2677
545	3212	2670
546	3217	2664
547	3222	2657
548	3227	2651
549	3233	2645
550	3238	2638
551	3243	2632
552	3251	2627
553	3256	2621
554	3261	2615
555	3268	2609
556	3275	2605
557	3282	2600
558	3287	2593
559	3293	2587
560	3299	2581
561	3304	2575
562	3310	2569
563	3315	2563
564	3321	2557
565	3329	2552
566	3334	2546
567	3340	2540
568	3345	2534
569	3350	2527
570	3355	2521
571	3360	2514
572	3365	2507
573	3370	2501
574	3374	2494
575	3379	2488
576	3384	2481
577	3389	2474
578	3394	2468
579	3399	2461
580	3403	2454
581	3408	2447
582	3412	2441
583	3419	2435
584	3425	2429
585	3431	2424
586	3437	2418
587	3444	2413
588	3449	2407
589	3454	2400
590	3461	2395
591	3466	2389
592	3474	2384
593	3480	2378
594	3484	2372
595	3491	2367
596	3498	2361
597	3504	2356
598	3510	2349
599	3515	2343
600	3521	2337
601	3526	2331
602	3532	2325
603	3538	2320
604	3544	2314
605	3549	2307
606	3556	2302
